"GreatPast,GreatFuture",Zoo/Aquarium,artMuseum,natural history museum,science and technology center,park,public library,live music,sporting event,lecture or talk about science,PoliticsInterest,CommunityInterest,SportsNewsInterest,BusinessInterest,ScienceNewsInterest,EntertainmentNewsInterest,HowOftenScienceNews,HowGetScienceNews,HealthMedInterest,TechInterest,EnvironmentInterest,NutritionInterest,AstromonyInterest,EvolutionInterest,BrainInterest,SciKnowledge,AltMethodsSci,RateNewsMediaScience,UseSocialMedia,WatchCrime,WatchMedical,WatchSciFi,Hobbies,ABCNews,CBSNews,NBCNews,BizInsider,Vox,IJR,PBS,Politico,LATimes,PoliticalViews,Language,Parent of 0-17 year olds,Occupation,ReligiousEvents,OwnSmartPhone,ComputerOwner,Age,Education,Race,Gender,HOH,HHSize,HousingType,Income,MaritalStatus,EmploymentStatus,Age,Children0-1,Children2-5,Children6-12,Children13-17,Adults18+
2,1,1,1,1,1,1,1,0,1,1,2,4,2,1,1,1,2,1,1,1,0,1,1,1,1,2,2,1,3,3,1,1,0,0,0,0,0,0,1,0,0,2,1,1,29,5,1,2,2,4,4,1,1,3,1,15,1,1,34,1,0,0,0,2
2,1,0,0,0,1,0,1,1,0,2,3,1,3,3,2,2,2,1,1,0,1,1,0,1,2,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,3,5,1,1,2,4,1,1,1,1,3,14,5,1,36,0,0,0,0,1
2,0,0,0,1,0,0,1,0,0,1,2,1,2,2,3,3,1,0,0,1,1,0,0,0,3,2,3,1,2,2,2,1,0,0,0,0,0,0,1,0,0,3,1,2,27,4,4,3,1,1,1,1,0,3,1,10,6,1,25,0,0,0,0,3
2,0,0,0,0,0,0,0,0,0,4,3,4,4,4,3,4,2,0,0,0,0,0,0,0,3,2,3,2,4,4,4,2,0,0,0,0,0,0,0,0,0,3,1,2,4,6,4,6,1,3,1,1,1,4,1,3,6,1,27,0,0,0,0,4
1,0,1,1,0,1,0,0,0,0,2,3,3,3,1,3,2,2,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,1,1,1,0,0,1,1,0,0,4,1,2,-2,6,1,3,3,2,1,1,1,1,3,3,5,6,52,0,0,0,0,1
1,0,0,0,0,0,0,1,1,0,2,1,1,1,1,1,3,1,1,1,1,1,0,0,1,1,1,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,2,1,2,22,2,2,2,3,3,4,1,1,2,1,16,1,1,52,0,0,0,0,2
1,0,0,0,0,1,0,1,1,1,1,2,2,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,0,0,0,0,0,1,0,2,1,2,1,6,1,3,2,4,3,1,1,2,3,20,6,1,33,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,4,4,2,4,2,4,1,2,1,1,1,1,1,0,1,2,1,4,2,4,4,1,2,0,0,0,0,0,0,0,0,0,4,1,2,-2,6,1,6,3,2,5,1,1,1,3,9,3,5,54,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,3,3,4,3,2,2,3,1,0,1,1,0,1,0,0,3,2,2,2,3,4,1,2,0,0,0,0,0,0,0,0,0,3,1,2,-2,6,4,1,1,2,1,1,0,2,1,3,5,4,26,0,0,0,0,2
2,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,3,2,1,1,2,2,2,1,0,1,0,0,0,0,1,0,0,2,1,2,-2,2,1,2,2,2,1,1,1,10,1,4,5,6,42,0,3,2,0,2
2,1,1,1,1,1,1,1,1,0,1,1,2,1,1,3,2,1,1,0,1,1,0,0,1,2,2,2,1,2,2,2,2,0,0,0,0,0,0,1,0,1,2,2,1,3,3,1,3,3,1,4,2,1,5,1,12,1,1,47,0,0,0,2,3
2,0,0,0,0,0,1,0,0,0,2,2,3,2,3,4,4,1,1,0,0,0,0,0,0,3,2,2,1,2,3,4,2,0,0,0,0,0,0,0,0,0,1,1,2,16,4,1,1,3,2,1,2,1,2,1,13,1,1,57,0,0,0,0,2
1,0,1,0,1,1,1,1,1,0,1,1,2,1,2,2,2,1,0,1,0,1,0,0,0,2,2,3,2,2,4,3,2,0,0,0,0,0,0,0,0,0,1,1,1,15,4,1,2,3,3,4,1,1,4,1,17,1,1,46,0,0,1,1,2
1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,3,1,0,0,1,0,0,0,0,3,2,2,1,2,2,3,2,0,0,0,0,0,0,0,0,0,-1,2,1,-2,4,1,6,1,2,4,2,0,10,4,4,1,7,28,1,1,3,1,3
2,0,1,0,1,1,0,0,0,1,1,2,1,1,1,3,2,2,1,1,1,0,0,0,1,1,2,2,1,2,3,2,2,1,0,0,0,0,0,0,0,0,2,2,2,1,5,1,3,4,4,4,1,1,3,1,19,1,2,61,0,0,0,0,3
2,0,0,0,0,0,1,0,0,0,2,2,1,2,4,3,4,-1,0,0,0,0,0,0,0,3,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,1,1,27,5,1,4,1,2,2,1,0,4,1,12,1,1,27,1,1,0,0,2
2,1,1,1,1,1,1,1,1,0,2,1,2,3,2,4,1,2,1,1,1,1,1,0,0,1,2,3,1,3,3,2,2,0,0,0,0,0,0,1,0,0,2,1,1,5,6,1,1,2,4,1,2,1,4,1,18,1,1,38,0,1,1,0,2
2,0,1,0,0,1,1,0,0,0,2,2,4,4,3,4,4,2,1,0,0,1,1,1,1,2,2,2,2,2,3,2,2,1,1,1,0,0,0,0,0,0,3,1,2,-2,6,4,1,4,4,1,1,1,1,1,6,2,5,83,0,0,0,0,1
2,0,0,0,0,0,1,1,0,0,3,1,4,2,3,3,4,1,0,0,1,1,0,0,0,3,2,2,1,3,1,4,2,0,0,0,0,0,0,0,0,0,2,1,2,22,2,2,3,3,3,2,2,1,1,1,11,3,1,48,0,0,0,0,1
2,0,0,0,0,0,1,1,0,1,2,3,4,3,2,2,2,2,1,1,1,1,0,0,1,-1,2,2,1,3,2,2,1,0,0,0,0,0,0,0,0,0,2,1,2,-2,2,1,2,1,2,3,2,0,4,2,14,5,4,21,0,0,0,0,4
2,0,0,0,0,1,1,0,1,1,3,2,2,1,2,3,2,1,1,0,1,1,0,0,0,2,2,4,2,1,3,3,2,0,0,0,0,0,0,0,0,0,3,1,1,5,1,1,4,2,4,2,1,1,4,1,19,1,1,39,0,0,1,1,2
1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,2,1,1,1,1,2,1,0,0,0,0,0,1,0,1,0,1,1,2,15,1,1,6,2,2,1,2,1,1,1,21,5,1,40,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,2,2,4,4,4,2,4,1,0,0,0,0,0,0,0,2,2,2,1,2,2,4,2,1,0,0,0,0,0,0,0,0,1,1,2,14,6,1,2,3,2,1,2,1,2,1,9,3,1,57,0,0,0,0,2
2,0,1,0,0,1,0,0,0,0,3,2,3,4,3,3,4,1,0,1,0,1,0,0,1,3,2,3,1,3,3,2,2,0,0,0,0,0,0,0,0,0,1,1,2,22,2,1,2,1,3,1,1,1,2,3,10,1,1,24,0,0,0,0,2
2,0,0,0,0,1,0,0,1,0,3,3,2,2,2,2,2,2,1,0,1,0,1,0,0,1,2,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,-2,5,1,2,1,4,1,1,0,3,2,16,5,7,26,0,0,0,0,3
1,0,0,1,1,0,1,1,1,0,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,3,1,3,3,2,1,1,1,1,1,0,1,1,1,1,4,1,2,28,2,1,3,1,4,1,1,0,2,1,16,5,1,23,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,1,1,1,1,0,1,0,0,3,2,2,1,2,2,1,2,1,1,1,0,0,0,0,0,0,3,1,2,-2,5,1,6,3,2,1,1,1,1,3,6,3,5,59,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,1,2,3,2,2,3,3,2,1,1,1,0,0,0,1,2,2,2,1,2,3,3,2,0,0,0,0,0,0,0,0,0,2,1,2,29,5,1,3,3,3,4,1,1,3,1,14,1,1,55,0,0,0,0,3
1,0,0,0,0,0,0,0,0,0,1,3,4,3,3,4,4,1,1,1,1,1,0,0,1,3,2,4,1,4,4,2,2,0,0,0,0,0,0,0,0,0,1,1,2,-2,6,1,6,3,1,1,2,1,1,1,2,1,6,54,0,0,0,0,1
